scope,filter_name,validation_trades,validation_accuracy,validation_avg_net_return,validation_compounded_return,test_trades,test_accuracy,test_avg_net_return,test_compounded_return
zec_5m,above_sma_72,22,0.5454545454545454,0.011484666046263319,0.27525716733063255,7,0.8571428571428571,0.0154019325745523,0.10883738642690766
zec_5m,ret_72_up,22,0.5,0.00973358244025524,0.22808122784097407,5,0.8,0.02031317951929568,0.10195386368067161
zec_5m,atr_high,20,0.5,0.008582116814163066,0.17788706587163317,9,0.7777777777777778,0.013927789349517779,0.1282309433351161
zec_5m,above_sma_288,26,0.4230769230769231,0.006802723800937028,0.18362560428961827,8,0.75,0.014220858755051621,0.11519020104424316
zec_5m,vol_high,21,0.6190476190476191,0.006071120653468835,0.1314191200201429,8,0.875,0.016376712765703155,0.1346571854787464
zec_5m,weekday,47,0.5106382978723404,0.004554524616177483,0.22507832944735728,8,0.75,0.013016408798637927,0.10456373941338226
zec_5m,hour_8_15,20,0.45,0.0043948810779499995,0.08424678915963413,5,0.8,0.006302885449969488,0.03176515939213198
zec_5m,rsi_mid,18,0.5,0.0041731532236345785,0.07335940107711014,3,1.0,0.0051780960920546565,0.01560690191045766
zec_5m,ret_288_down,28,0.6428571428571429,0.004062212864664677,0.1162032432798823,6,0.8333333333333334,0.00393612449308063,0.023760462934334203
zec_5m,hour_16_23,38,0.5,0.0038559459762504585,0.1516657714850851,7,0.7142857142857143,0.01314553152708298,0.09139439339157418
zec_5m,ret_288_up,31,0.3225806451612903,0.0037032158525140166,0.11211397380411636,7,0.7142857142857143,0.014266858170292374,0.09987468415106648
all_assets_pooled,score_high,21,0.5238095238095238,0.0025108065834796222,0.05328870134840713,7,0.5714285714285714,0.00016251799516921804,0.0009587440776253064
zec_5m,below_sma_288,33,0.5151515151515151,0.0015657828125509932,0.04876509933397011,5,0.8,0.001943576822023486,0.009700600634651613
zec_5m,weekend,12,0.3333333333333333,0.0012065828898503105,0.013278248923898506,5,0.8,0.003870696752285398,0.019414430908493596
zec_5m,ret_72_down,37,0.4594594594594595,0.0003892658906197345,0.01080058575553422,8,0.75,0.0027398570692565003,0.021828819634275742
