variant,trades,longs,shorts,stops,stop_rate,total_return,win_rate,max_drawdown,ruined_at
long_p100,128,128,0,9,0.0703125,-0.8491777421371054,0.5703125,-0.9964355676963116,
short_p0,161,0,161,8,0.049689440993788817,-0.9998890193985004,0.4658385093167702,-0.9999520176464788,
p100_0_both,289,128,161,17,0.058823529411764705,-0.9999832616551029,0.5121107266435986,-0.999999184108787,
p60_40_fcst_1p0,265,123,142,22,0.0830188679245283,-0.9999931663340322,0.5433962264150943,-0.9999998730307962,
long_p80,312,312,0,20,0.0641025641025641,-0.9999988354430867,0.48717948717948717,-0.9999999694762803,
long_p60,531,531,0,30,0.05649717514124294,-0.9999999978169299,0.4839924670433145,-0.9999999999677982,
short_p20,394,0,394,19,0.048223350253807105,-0.9999999999076834,0.4619289340101523,-0.9999999999694531,
p80_20_fcst_0p5,509,223,286,34,0.06679764243614932,-0.9999999999953498,0.48919449901768175,-0.9999999999999765,
p60_40_fcst_0p5,604,262,342,42,0.0695364238410596,-0.9999999999999936,0.48013245033112584,-1.0,
short_p40,650,0,650,26,0.04,-0.9999999999999938,0.46923076923076923,-0.9999999999999997,
p80_20_both,706,312,394,39,0.05524079320113314,-0.9999999999999999,0.4730878186968839,-1.0,
p60_40_both,1181,531,650,56,0.04741744284504657,-1.0,0.4758679085520745,-1.0,
